Сценарий,Сделки/месяц,Средний чек,Выручка/месяц,Себестоимость %,Постоянные расходы,Маркетинг,Валовая прибыль,Чистая прибыль/месяц,Чистая прибыль/год,Рентабельность %,Прибыль/сделку,Безубыточность (сделок),Инвестиции,Срок окупаемости (мес),ROI годовой %
Консервативный,12,200000,2400000,65,310000,80000,450000,382500,4590000,15.9,31875,6.6,1700000,4.4,270.0
Базовый,18,300000,5400000,60,587000,120000,1453000,1235050,14820600,22.9,68613,6.9,4700000,3.8,315.3
Агрессивный,25,350000,8750000,55,938000,200000,2799500,2379575,28554900,27.2,95183,8.5,12500000,5.3,228.4
