Сценарий,Сделки/месяц,Средний чек,Выручка/месяц,Себестоимость %,Постоянные расходы,Маркетинг,Валовая прибыль,Чистая прибыль/месяц,Чистая прибыль/год,Рентабельность %,Прибыль/сделку,Безубыточность (сделок),Инвестиции,Срок окупаемости (мес),ROI годовой %
Консервативный,12,"200,000","2,400,000",65%,"310,000","80,000","450,000.0","382,500.0","4,590,000.0",15.9%,"31,875.0",6.6,"1,700,000",4.4,270.0%
Базовый,18,"300,000","5,400,000",60%,"587,000","120,000","1,453,000.0","1,235,050.0","14,820,600.0",22.9%,"68,613.88888888889",6.9,"4,700,000",3.8,315.3%
Агрессивный,25,"350,000","8,750,000",55%,"938,000","200,000","2,799,500.0","2,379,575.0","28,554,900.0",27.2%,"95,183.0",8.5,"12,500,000",5.3,228.4%
